State,Syllabus_subtopic_code,Term,Definition
NSW,MA-M1,annuities,Defintion to be captured
NSW,MA-M1,sequence,Defintion to be captured
NSW,MA-M1,series,Defintion to be captured
NSW,MA-M1,arithmetic sequence and series,Defintion to be captured
NSW,MA-M1,common difference,Defintion to be captured
NSW,MA-M1,geometric sequence and series,Defintion to be captured
NSW,MA-M1,common ratio,Defintion to be captured
NSW,MA-M1,present value,Defintion to be captured
NSW,MA-M1,future value,Defintion to be captured
NSW,MA-S1,event,
NSW,MA-S1,complement,
NSW,MA-S1,independent events,
NSW,MA-S1,mutually exclusive events,
NSW,MA-S1,non-mutually exclusive events,
NSW,MA-S1,outcome,
NSW,MA-S1,equally likely outcomes,
NSW,MA-S1,theoretical probability,
NSW,MA-S1,conditional probability,
NSW,MA-S1,probability scale,
NSW,MA-S1,probability tree,
NSW,MA-S1,tree diagram,
NSW,MA-S1,array $($table$)$,
NSW,MA-S1,relative frequency,
NSW,MA-S1,population,
NSW,MA-S1,sample space,
NSW,MA-S1,set,
NSW,MA-S1,Venn diagram,
NSW,MA-S1,random variable,
NSW,MA-S1,discrete random variable,
NSW,MA-S1,continuous random variable,
NSW,MA-S1,uniform discrete random variables,
NSW,MA-S1,non-uniform discrete random variables,
NSW,MA-S1,expected value,
NSW,MA-S1,probability distribution,
NSW,MA-S1,discrete probability distribution,
NSW,MA-S1,uniform probability distribution,
NSW,MA-S1,mean or expected value,
NSW,MA-S1,variance,
NSW,MA-S1,standard deviation,
NSW,ME-A1,arrangements,
NSW,ME-A1,"fundamental counting principle, also known as the multiplication principle",
NSW,ME-A1,pigeonhole principle,
NSW,ME-A1,gernalised pigeonhole principle,
NSW,ME-A1,ordered selections,
NSW,ME-A1,unordered selections,
NSW,ME-A1,factorial,
NSW,ME-A1,permutations,
NSW,ME-A1,combinations,
NSW,ME-A1,binomial expansion,
NSW,ME-A1,Pascal's triangle and binomial coefficients,
NSW,ME-A1,Pascal's triangle identity,
NSW,MA-S2,categorical data,
NSW,MA-S2,numerical data,
NSW,MA-S2,nominal data,
NSW,MA-S2,ordinal data,
NSW,MA-S2,discrete data,
NSW,MA-S2,continuous data,
NSW,MA-S2,frequency table,
NSW,MA-S2,histogram,
NSW,MA-S2,frequency polygon,
NSW,MA-S2,cumulative frequency histogram,
NSW,MA-S2,ogive $($cumulative frequency polygon$)$,
NSW,MA-S2,stem-and-leaf plot,
NSW,MA-S2,dot plot,
NSW,MA-S2,five-number summary,
NSW,MA-S2,box plot $($box-and-whisker-plot$)$,
NSW,MA-S2,two-way table,
NSW,MA-S2,bar chart,
NSW,MA-S2,pie chart,
NSW,MA-S2,Pareto chart,
NSW,MA-S2,mode,
NSW,MA-S2,median,
NSW,MA-S2,outlier,
NSW,MA-S2,quantile,
NSW,MA-S2,quartile,
NSW,MA-S2,decile,
NSW,MA-S2,percentile,
NSW,MA-S2,range,
NSW,MA-S2,interquartile range,
NSW,MA-S2,skewness,
NSW,MA-S2,symmetrical distribution,
NSW,MA-S2,modality,
NSW,MA-S2,unimodal,
NSW,MA-S2,bimodal,
NSW,MA-S2,multimodal,
NSW,MA-S2,bivariate data,
NSW,MA-S2,dependent and independent variables,
NSW,MA-S2,extrapolation,
NSW,MA-S2,interpolation,
NSW,MA-S2,least-squares regression line,
NSW,MA-S2,line of best fit,
NSW,MA-S2,Pearson's correlation coefficient,
NSW,MA-S2,scatterplot,
NSW,MA-S2,causality,
NSW,MA-S3,random variable,
NSW,MA-S3,continuous random variable,
NSW,MA-S3,continuous probability distribution,
NSW,MA-S3,uniform probability distribution,
NSW,MA-S3,probability density function $($pdf$)$,
NSW,MA-S3,cumulative distribution function $($cdf$)$,
NSW,MA-S3,empirical rule,
NSW,MA-S3,normal distribution,
NSW,MA-S3,z-score,
NSW,ME-S1,Bernoulli random variable,
NSW,ME-S1,Binomial random variable,
NSW,ME-S1,Bernoulli trial,
NSW,ME-S1,Bernoulli distribution,
NSW,ME-S1,Binomial distribution,
NSW,ME-S1,population proportion,
NSW,ME-S1,sample proportion,
NSW,ME-S1,sampling distribution of proportions,
NSW,ME-S1,central limit theorem,
