State,Syllabus_subtopic_code,Note
NSW,MA-S1,Probability trees: Use the product rule along branches to find $P( A \cap B )$   representing A and B
NSW,MA-S1,Probability trees: Use the additional rule for different branches to find $P(A \cup B) $ representing A or B.
NSW,MA-S1,$A \cup B $ is A union B
NSW,MA-S1,$A \cap B $  is A intersection B
NSW,MA-S1,The probability formula applies where each outcome is equally likely: $ P(E) = \dfrac{n(E)}{n(S)} $
NSW,MA-S1,The sum of all mutually exclusive probabilities is 1
NSW,MA-S1,$P(A \cup B) = P(A) + P(B) $ is the addition rule for mutually exclusive events
NSW,MA-S1,$P(A \cup B) = P(A) + P(B) - P(A \cap B) $ is the addition rule 
NSW,MA-S1,$P(A \cap B)  = P(A)P(B)$ is the product rule for independent events only
NSW,MA-S1,"Conditional probability is $ P(A|B) = \dfrac{P(A \cap B)}{P(B)} \text{, where } P(B) eq 0 $ while conditional probability for independent events is $ P(A|B) = P(A) $"
NSW,MA-S1,"Capital letter, e.g. X is often used for a random variable"
NSW,MA-S1,Lower case letter such as x is used for the values of X
NSW,MA-S1,"Properties of discrete probability distributions:
    * All possible value of X are mutually exclusive
    * The sum of probabilities = 1
    * For each value of x: 0<=P(X=x)<=1"
NSW,MA-S1,A probability distribution can be drawn as a table with columns for x and P$($x$)$
NSW,MA-S1,The expected values E(X) of a probability distribution measures the centre of the distribution  = mean or average
NSW,MA-S1,$\overline{x} $ is the mean of a sample
NSW,MA-S1,$\mu $ is the mean of the population
NSW,MA-S1,$s$ is the sample standard deviation
NSW,MA-S1,$\sigma$ is the poplulation standard deviation
NSW,MA-S1,As the sample size increases $\overline{x} $ approaches  $\mu $
NSW,MA-S1,The complement of A can be written as $\overline A$ or $ \text{A'}$ or $A^c$
NSW,MA-S1,The formula sheet defines variance as follows:  $ Var(X) = E(X^2) - \mu^2$.  The following may be an easier format to understand though: $ Var(X) = \sum[x^2p(x)] - \mu^2$
NSW,MA-S1,Know how to capture frequencies and calculate statistics on calculator
NSW,ME-A1,$ n!$ is the number of ways of selecting n objects with no replacement or repetition.  Order is important.
NSW,ME-A1,Permutations = ordered
NSW,ME-A1,$^nP_r$ is the number of ways of making an ordered selection or r objects from a total of n objects.
