State,Subject,Dependency
NSW,Year 7,Year 7
NSW,Year 8,Year 7
NSW,Year 8,Year 8
NSW,Year 9,Year 7
NSW,Year 9,Year 8
NSW,Year 9,Year 9
NSW,Year 10,Year 7
NSW,Year 10,Year 8
NSW,Year 10,Year 9
NSW,Year 10,Year 10
NSW,Year 11 Adv,Year 7
NSW,Year 11 Adv,Year 8
NSW,Year 11 Adv,Year 9
NSW,Year 11 Adv,Year 10
NSW,Year 11 Adv,Year 11 Adv
NSW,Year 11 Ext 1,Year 7
NSW,Year 11 Ext 1,Year 8
NSW,Year 11 Ext 1,Year 9
NSW,Year 11 Ext 1,Year 10
NSW,Year 11 Ext 1,Year 11 Adv
NSW,Year 11 Ext 1,Year 11 Ext 1
NSW,Year 12 Adv,Year 7
NSW,Year 12 Adv,Year 8
NSW,Year 12 Adv,Year 9
NSW,Year 12 Adv,Year 10
NSW,Year 12 Adv,Year 11 Adv
NSW,Year 12 Adv,Year 12 Adv
NSW,Year 12 Ext 1,Year 7
NSW,Year 12 Ext 1,Year 8
NSW,Year 12 Ext 1,Year 9
NSW,Year 12 Ext 1,Year 10
NSW,Year 12 Ext 1,Year 11 Adv
NSW,Year 12 Ext 1,Year 12 Adv
NSW,Year 12 Ext 1,Year 12 Ext 1
NSW,Year 12 Ext 2,Year 7
NSW,Year 12 Ext 2,Year 8
NSW,Year 12 Ext 2,Year 9
NSW,Year 12 Ext 2,Year 10
NSW,Year 12 Ext 2,Year 11 Adv
NSW,Year 12 Ext 2,Year 12 Adv
NSW,Year 12 Ext 2,Year 12 Ext 1
NSW,Year 12 Ext 2,Year 12 Ext 2
