State,Subject code,Syllabus topic,Syllabus subtopic code,Syllabus subtopic
NSW,Year 9,TBA,TBA,TBA
NSW,Year 11 Adv,TBA,TBA,TBA
NSW,Year 12 Adv,TBA,TBA,TBA
NSW,Year 12 Adv,Functions,MA-F2,Graphing Techniques
NSW,Year 12 Adv,Trigonometric Functions,MA-T3,Trigonometric Functions and Graphs
NSW,Year 12 Adv,Calculus,MA-C2,Differential Calculus
NSW,Year 12 Adv,Calculus,MA-C3,Applications of Differentiation
NSW,Year 12 Adv,Calculus,MA-C4,Integral Calculus
NSW,Year 12 Adv,Financial Mathematics,MA-M1,Modelling Financial Situations
NSW,Year 12 Adv,Statistical Analysis,MA-S2,Descriptive Statistics and Bivariate Data Analysis
NSW,Year 12 Adv,Statistical Analysis,MA-S3,Random Variables
